state_fips,district,income,filing_status,child_dep,avg_income_ALL,taxes_paid_ded,pre-tcja-tax,current-law-tax
1,1,0-30,0,0,11776,1755,-252,-329
1,1,0-30,0,1,11776,1755,-4468,-4834
1,1,0-30,0,2,11776,1755,-5934,-6009
1,1,30-75,0,0,38746,3536,2618,2144
1,1,30-75,0,1,38746,3536,-62,-1089
1,1,30-75,0,2,38746,3536,-3004,-4516
1,1,75-150,0,0,79265,6102,7609,6624
1,1,75-150,0,1,79265,6102,5680,4216
1,1,75-150,0,2,79265,6102,3995,2216
1,1,150-500,0,0,159342,12237,21186,20269
1,1,150-500,0,1,159342,12237,19917,18083
1,1,150-500,0,2,159342,12237,18890,16083
1,1,500-inf,0,0,680980,68334,157756,140180
1,1,500-inf,0,1,680980,68334,157601,139914
1,1,500-inf,0,2,680980,68334,157601,139914
1,2,0-30,0,0,12605,1591,-137,-242
1,2,0-30,0,1,12605,1591,-4468,-4868
1,2,0-30,0,2,12605,1591,-6408,-6484
1,2,30-75,0,0,38894,3101,2613,2142
1,2,30-75,0,1,38894,3101,-27,-1053
1,2,30-75,0,2,38894,3101,-2957,-4472
1,2,75-150,0,0,78148,5292,7426,6416
1,2,75-150,0,1,78148,5292,5526,4060
1,2,75-150,0,2,78148,5292,3849,2060
1,2,150-500,0,0,153408,10744,19941,18848
1,2,150-500,0,1,153408,10744,18714,16683
1,2,150-500,0,2,153408,10744,17680,14683
1,2,500-inf,0,0,665415,76817,147848,129481
1,2,500-inf,0,1,665415,76817,147703,129216
1,2,500-inf,0,2,665415,76817,147703,129216
1,3,0-30,0,0,12574,2111,-143,-249
1,3,0-30,0,1,12574,2111,-4468,-4868
1,3,0-30,0,2,12574,2111,-6399,-6474
1,3,30-75,0,0,39905,3521,2676,2217
1,3,30-75,0,1,39905,3521,213,-807
1,3,30-75,0,2,39905,3521,-2664,-4179
1,3,75-150,0,0,79425,6444,7356,6553
1,3,75-150,0,1,79425,6444,5497,4234
1,3,75-150,0,2,79425,6444,3826,2234
1,3,150-500,0,0,156192,11832,19901,19129
1,3,150-500,0,1,156192,11832,18694,17000
1,3,150-500,0,2,156192,11832,17661,15000
1,3,500-inf,0,0,606150,70205,133114,114612
1,3,500-inf,0,1,606150,70205,132974,114355
1,3,500-inf,0,2,606150,70205,132974,114355
1,4,0-30,0,0,11981,1532,-258,-341
1,4,0-30,0,1,11981,1532,-4468,-4868
1,4,0-30,0,2,11981,1532,-6062,-6137
1,4,30-75,0,0,39171,3321,2437,2010
1,4,30-75,0,1,39171,3321,-150,-1138
1,4,30-75,0,2,39171,3321,-3070,-4571
1,4,75-150,0,0,80435,5921,7666,6603
1,4,75-150,0,1,80435,5921,5847,4338
1,4,75-150,0,2,80435,5921,4184,2338
1,4,150-500,0,0,155915,11570,20211,19286
1,4,150-500,0,1,155915,11570,18975,17129
1,4,150-500,0,2,155915,11570,17944,15129
1,4,500-inf,0,0,522281,57641,113931,95837
1,4,500-inf,0,1,522281,57641,113770,95536
1,4,500-inf,0,2,522281,57641,113770,95536
1,5,0-30,0,0,11773,1559,-254,-331
1,5,0-30,0,1,11773,1559,-4468,-4834
1,5,0-30,0,2,11773,1559,-5934,-6009
1,5,30-75,0,0,38253,3111,2530,2068
1,5,30-75,0,1,38253,3111,-221,-1237
1,5,30-75,0,2,38253,3111,-3187,-4692
1,5,75-150,0,0,81819,5598,8203,7074
1,5,75-150,0,1,81819,5598,6265,4634
1,5,75-150,0,2,81819,5598,4575,2634
1,5,150-500,0,0,163176,10358,23025,21488
1,5,150-500,0,1,163176,10358,21806,19337
1,5,150-500,0,2,163176,10358,20778,17337
1,5,500-inf,0,0,699687,43959,160909,142595
1,5,500-inf,0,1,699687,43959,160447,142354
1,5,500-inf,0,2,699687,43959,160447,142354
1,6,0-30,0,0,11697,2652,-282,-341
1,6,0-30,0,1,11697,2652,-4468,-4803
1,6,0-30,0,2,11697,2652,-5820,-5895
1,6,30-75,0,0,40415,3848,2867,2363
1,6,30-75,0,1,40415,3848,437,-621
1,6,30-75,0,2,40415,3848,-2423,-3961
1,6,75-150,0,0,83819,6656,8252,7270
1,6,75-150,0,1,83819,6656,6352,4840
1,6,75-150,0,2,83819,6656,4664,2840
1,6,150-500,0,0,178450,13708,25036,24122
1,6,150-500,0,1,178450,13708,23783,21994
1,6,150-500,0,2,178450,13708,22794,19994
1,6,500-inf,0,0,887742,57336,200175,183400
1,6,500-inf,0,1,887742,57336,199757,183272
1,6,500-inf,0,2,887742,57336,199757,183272
1,7,0-30,0,0,13585,1774,59,-58
1,7,0-30,0,1,13585,1774,-4468,-4868
1,7,0-30,0,2,13585,1774,-6978,-7053
1,7,30-75,0,0,39230,3592,2957,2422
1,7,30-75,0,1,39230,3592,414,-670
1,7,30-75,0,2,39230,3592,-2478,-4021
1,7,75-150,0,0,80000,5866,8007,7008
1,7,75-150,0,1,80000,5866,5992,4475
1,7,75-150,0,2,80000,5866,4288,2475
1,7,150-500,0,0,159153,11798,21406,20380
1,7,150-500,0,1,159153,11798,20046,18119
1,7,150-500,0,2,159153,11798,19022,16119
1,7,500-inf,0,0,2472047,112021,838381,794986
1,7,500-inf,0,1,2472047,112021,837259,794668
1,7,500-inf,0,2,2472047,112021,837259,794668
2,0,0-30,0,0,10876,2798,-382,-382
2,0,0-30,0,1,10876,2798,-4468,-4672
2,0,0-30,0,2,10876,2798,-5339,-5414
2,0,30-75,0,0,40372,3613,3098,2534
2,0,30-75,0,1,40372,3613,665,-443
2,0,30-75,0,2,40372,3613,-2189,-3752
2,0,75-150,0,0,81874,4684,8906,7540
2,0,75-150,0,1,81874,4684,6736,4834
2,0,75-150,0,2,81874,4684,5006,2834
2,0,150-500,0,0,164227,7127,24867,22590
2,0,150-500,0,1,164227,7127,23484,20280
2,0,150-500,0,2,164227,7127,22487,18280
2,0,500-inf,0,0,580780,27012,138434,117361
2,0,500-inf,0,1,580780,27012,137840,116916
2,0,500-inf,0,2,580780,27012,137840,116916
4,1,0-30,0,0,11910,41918,-253,-329
4,1,0-30,0,1,11910,41918,-4468,-4850
4,1,0-30,0,2,11910,41918,-5992,-6067
4,1,30-75,0,0,38265,4320,2473,2039
4,1,30-75,0,1,38265,4320,-306,-1299
4,1,30-75,0,2,38265,4320,-3283,-4765
4,1,75-150,0,0,73714,6958,6591,5842
4,1,75-150,0,1,73714,6958,4604,3403
4,1,75-150,0,2,73714,6958,2892,1403
4,1,150-500,0,0,148753,13800,17946,17781
4,1,150-500,0,1,148753,13800,16700,15589
4,1,150-500,0,2,148753,13800,15618,13589
4,1,500-inf,0,0,788157,78687,183172,165622
4,1,500-inf,0,1,788157,78687,182982,165302
4,1,500-inf,0,2,788157,78687,182982,165302
4,2,0-30,0,0,11956,2938,-250,-326
4,2,0-30,0,1,11956,2938,-4468,-4839
4,2,0-30,0,2,11956,2938,-5952,-6027
4,2,30-75,0,0,36345,4143,2347,1896
4,2,30-75,0,1,36345,4143,-804,-1805
4,2,30-75,0,2,36345,4143,-3879,-5325
4,2,75-150,0,0,72232,6835,6523,5727
4,2,75-150,0,1,72232,6835,4397,3130
4,2,75-150,0,2,72232,6835,2694,1130
4,2,150-500,0,0,156351,14295,19853,19627
4,2,150-500,0,1,156351,14295,18539,17373
4,2,150-500,0,2,156351,14295,17508,15373
4,2,500-inf,0,0,734089,69141,161166,143729
4,2,500-inf,0,1,734089,69141,160948,143330
4,2,500-inf,0,2,734089,69141,160948,143330
4,3,0-30,0,0,13361,3355,-49,-150
4,3,0-30,0,1,13361,3355,-4468,-4868
4,3,0-30,0,2,13361,3355,-6856,-6931
4,3,30-75,0,0,40474,4678,2753,2289
4,3,30-75,0,1,40474,4678,413,-613
4,3,30-75,0,2,40474,4678,-2426,-3949
4,3,75-150,0,0,80022,6980,7889,6831
4,3,75-150,0,1,80022,6980,5962,4416
4,3,75-150,0,2,80022,6980,4277,2416
4,3,150-500,0,0,153097,13429,20255,19571
4,3,150-500,0,1,153097,13429,18941,17325
4,3,150-500,0,2,153097,13429,17909,15325
4,3,500-inf,0,0,633033,157865,140364,125181
4,3,500-inf,0,1,633033,157865,140092,124696
4,3,500-inf,0,2,633033,157865,140092,124696
4,4,0-30,0,0,10839,4519,-405,-405
4,4,0-30,0,1,10839,4519,-4468,-4678
4,4,0-30,0,2,10839,4519,-5363,-5438
4,4,30-75,0,0,34084,3935,1848,1490
4,4,30-75,0,1,34084,3935,-1635,-2551
4,4,30-75,0,2,34084,3935,-4785,-6079
4,4,75-150,0,0,67183,6605,5429,4876
4,4,75-150,0,1,67183,6605,3472,2471
4,4,75-150,0,2,67183,6605,1850,471
4,4,150-500,0,0,138239,13940,15151,15414
4,4,150-500,0,1,138239,13940,13765,13199
4,4,150-500,0,2,138239,13940,12080,11199
4,4,500-inf,0,0,654253,79216,141707,124768
4,4,500-inf,0,1,654253,79216,141514,124401
4,4,500-inf,0,2,654253,79216,141514,124401
4,5,0-30,0,0,11537,2638,-300,-346
4,5,0-30,0,1,11537,2638,-4468,-4782
4,5,0-30,0,2,11537,2638,-5745,-5820
4,5,30-75,0,0,39760,3761,2785,2297
4,5,30-75,0,1,39760,3761,246,-800
4,5,30-75,0,2,39760,3761,-2651,-4173
4,5,75-150,0,0,85007,6162,8460,7467
4,5,75-150,0,1,85007,6162,6575,5033
4,5,75-150,0,2,85007,6162,4887,3033
4,5,150-500,0,0,180342,11998,26460,24949
4,5,150-500,0,1,180342,11998,25232,22815
4,5,150-500,0,2,180342,11998,24226,20815
4,5,500-inf,0,0,864459,83957,212654,201231
4,5,500-inf,0,1,864459,83957,212298,201132
4,5,500-inf,0,2,864459,83957,212298,201132
4,6,0-30,0,0,12030,2919,-253,-323
4,6,0-30,0,1,12030,2919,-4468,-4827
4,6,0-30,0,2,12030,2919,-5909,-5984
4,6,30-75,0,0,39614,4075,2966,2426
4,6,30-75,0,1,39614,4075,331,-751
4,6,30-75,0,2,39614,4075,-2585,-4118
4,6,75-150,0,0,78716,6927,7889,7004
4,6,75-150,0,1,78716,6927,5664,4191
4,6,75-150,0,2,78716,6927,3913,2191
4,6,150-500,0,0,183493,15416,26150,25376
4,6,150-500,0,1,183493,15416,24723,23146
4,6,150-500,0,2,183493,15416,23839,21146
4,6,500-inf,0,0,1016710,88719,250030,240613
4,6,500-inf,0,1,1016710,88719,249384,240437
4,6,500-inf,0,2,1016710,88719,249384,240437
4,7,0-30,0,0,14417,2244,126,21
4,7,0-30,0,1,14417,2244,-4468,-4868
4,7,0-30,0,2,14417,2244,-7434,-7509
4,7,30-75,0,0,41061,3790,3065,2515
4,7,30-75,0,1,41061,3790,784,-304
4,7,30-75,0,2,41061,3790,-1975,-3539
4,7,75-150,0,0,83721,6222,9261,7938
4,7,75-150,0,1,83721,6222,7125,5201
4,7,75-150,0,2,83721,6222,5389,3201
4,7,150-500,0,0,167026,12922,24950,23527
4,7,150-500,0,1,167026,12922,23325,21078
4,7,150-500,0,2,167026,12922,22316,19078
4,7,500-inf,0,0,788250,120938,189068,179447
4,7,500-inf,0,1,788250,120938,188592,178766
4,7,500-inf,0,2,788250,120938,188592,178766
4,8,0-30,0,0,11297,2504,-345,-369
4,8,0-30,0,1,11297,2504,-4468,-4742
4,8,0-30,0,2,11297,2504,-5596,-5671
4,8,30-75,0,0,36873,3731,2384,1945
